Module_Name,Feature Scaled,Accuracy,Standard Deviation,Test-Set Accuracy Score
XGBoost,Yes,91,6.674994798,0.94
XGBoost,No,91,6.674994798,0.94
SVM,Yes,81.33333333,8.844332774,0.9
Random Forest,No,91.66666667,5.426273532,0.94
Random Forest,Yes,91.33333333,5.206833117,0.94
Naive-Bayes,No,87.66666667,8.306623863,0.9
Naive-Bayes,Yes,87.66666667,8.950481055,0.9
Logistic Regression,Yes,83.66666667,8.491826135,0.91
Logistic Regression,No,82.66666667,9.521904571,0.89
KNN,No,79.33333333,4.898979486,0.83
KNN,Yes,91.33333333,5.811865258,0.93
Kernel SVM,Yes,90.66666667,6.110100927,0.93
Decision Tree,No,91,6.155395104,0.92
Decision Tree,Yes,91,6.155395104,0.92
ANN,Yes,,,0.93
Simple ANN,Yes,,,0.93
